##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
3,"3 Simpson, Zavier",,14,0,1,0,1,0,0,1,1,2,3,2,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
5,"5 Simmons, Jaaron",,8,0,3,0,1,0,0,1,1,0,2,1,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
0,"0 Hibbitts, Brent",,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
11,"11 Wilson, Luke",,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
14,"14 Ozuna-Harrison, Rico",,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alabama A&M;,47,97,12/21/17,home,W
,Totals,-,200,36,60,15,32,10,18,5,26,16,23,12,5,10,97,Alabama A&M;,47,97,12/21/17,home,W
12,"12 Abdur-Rahkman, M-A",*,32,7,7,2,2,4,5,0,3,1,2,1,1,0,20,Jacksonville,51,76,12/30/17,home,W
1,"1 Matthews, Charles",*,29,9,15,0,3,0,0,2,5,2,3,4,1,0,18,Jacksonville,51,76,12/30/17,home,W
22,"22 Robinson, Duncan",*,28,5,10,2,6,0,0,0,6,1,1,0,1,0,12,Jacksonville,51,76,12/30/17,home,W
13,"13 Wagner, Moritz",*,20,3,7,1,3,0,0,1,5,1,1,4,2,0,7,Jacksonville,51,76,12/30/17,home,W
55,"55 Brooks, Eli",*,23,0,2,0,2,0,0,1,1,0,1,1,0,1,0,Jacksonville,51,76,12/30/17,home,W
2,"2 Poole, Jordan",,12,3,5,2,4,2,2,1,1,1,0,1,0,1,10,Jacksonville,51,76,12/30/17,home,W
23,"23 Watson, Ibi",,4,1,3,1,2,0,0,0,0,0,0,0,0,0,3,Jacksonville,51,76,12/30/17,home,W
3,"3 Simpson, Zavier",,17,1,2,0,1,0,0,0,3,0,5,1,0,0,2,Jacksonville,51,76,12/30/17,home,W
15,"15 Teske, Jon",,17,1,3,0,0,0,2,2,4,1,0,2,0,1,2,Jacksonville,51,76,12/30/17,home,W
4,"4 Livers, Isaiah",,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,Jacksonville,51,76,12/30/17,home,W
5,"5 Simmons, Jaaron",,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,Jacksonville,51,76,12/30/17,home,W
51,"51 Davis, Austin",,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Jacksonville,51,76,12/30/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Jacksonville,51,76,12/30/17,home,W
,Totals,-,200,31,55,8,23,6,9,8,33,7,15,14,5,3,76,Jacksonville,51,76,12/30/17,home,W
12,"12 Abdur-Rahkman, M-A",*,37,5,13,3,8,2,2,1,6,1,6,0,0,2,15,Iowa,68,75,01/02/18,away,W
1,"1 Matthews, Charles",*,36,5,11,1,4,3,4,0,7,3,0,2,0,1,14,Iowa,68,75,01/02/18,away,W
22,"22 Robinson, Duncan",*,13,1,5,1,3,2,2,0,0,3,2,1,0,0,5,Iowa,68,75,01/02/18,away,W
13,"13 Wagner, Moritz",*,16,2,6,0,1,0,0,2,2,2,0,2,0,0,4,Iowa,68,75,01/02/18,away,W
55,"55 Brooks, Eli",*,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Iowa,68,75,01/02/18,away,W
3,"3 Simpson, Zavier",,32,6,9,2,4,1,2,0,3,1,7,0,0,2,15,Iowa,68,75,01/02/18,away,W
4,"4 Livers, Isaiah",,27,5,6,3,3,0,0,1,1,1,3,1,0,2,13,Iowa,68,75,01/02/18,away,W
15,"15 Teske, Jon",,24,3,5,0,0,0,0,2,5,3,0,0,0,0,6,Iowa,68,75,01/02/18,away,W
2,"2 Poole, Jordan",,5,1,2,1,2,0,0,0,0,1,0,0,0,1,3,Iowa,68,75,01/02/18,away,W
23,"23 Watson, Ibi",,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,68,75,01/02/18,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Iowa,68,75,01/02/18,away,W
,Totals,-,200,28,57,11,25,8,10,6,24,15,18,10,0,8,75,Iowa,68,75,01/02/18,away,W
13,"13 Wagner, Moritz",*,23,6,7,1,1,1,1,0,7,3,0,2,3,0,14,Illinois,69,79,01/06/18,home,W
12,"12 Abdur-Rahkman, M-A",*,36,4,9,1,4,4,4,0,4,4,4,1,1,2,13,Illinois,69,79,01/06/18,home,W
22,"22 Robinson, Duncan",*,26,4,8,1,5,4,4,0,1,2,0,2,0,0,13,Illinois,69,79,01/06/18,home,W
1,"1 Matthews, Charles",*,16,4,4,1,1,1,2,0,0,3,2,1,0,0,10,Illinois,69,79,01/06/18,home,W
3,"3 Simpson, Zavier",*,32,1,5,0,2,3,6,0,3,3,7,5,0,2,5,Illinois,69,79,01/06/18,home,W
4,"4 Livers, Isaiah",,18,5,7,2,3,0,0,1,0,0,0,0,0,0,12,Illinois,69,79,01/06/18,home,W
2,"2 Poole, Jordan",,19,2,3,2,3,5,5,1,1,0,1,0,0,2,11,Illinois,69,79,01/06/18,home,W
5,"5 Simmons, Jaaron",,4,0,1,0,0,1,2,0,1,0,1,2,0,0,1,Illinois,69,79,01/06/18,home,W
15,"15 Teske, Jon",,17,0,1,0,0,0,0,2,0,2,2,1,1,1,0,Illinois,69,79,01/06/18,home,W
23,"23 Watson, Ibi",,5,0,4,0,1,0,0,1,0,0,0,0,0,0,0,Illinois,69,79,01/06/18,home,W
55,"55 Brooks, Eli",,4,0,2,0,0,0,0,0,2,0,1,1,0,0,0,Illinois,69,79,01/06/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Illinois,69,79,01/06/18,home,W
,Totals,-,200,26,51,8,20,19,24,7,20,17,18,15,5,7,79,Illinois,69,79,01/06/18,home,W
3,"3 Simpson, Zavier",*,32,6,10,2,3,1,2,1,5,1,5,1,0,0,15,Purdue,70,69,01/09/18,home,L
1,"1 Matthews, Charles",*,36,5,14,3,5,1,3,2,5,1,2,4,1,0,14,Purdue,70,69,01/09/18,home,L
13,"13 Wagner, Moritz",*,29,5,11,1,4,0,1,2,4,4,0,1,0,1,11,Purdue,70,69,01/09/18,home,L
12,"12 Abdur-Rahkman, M-A",*,36,3,9,1,5,0,0,0,2,0,1,0,0,0,7,Purdue,70,69,01/09/18,home,L
22,"22 Robinson, Duncan",*,14,1,4,0,2,2,2,0,1,0,0,1,1,0,4,Purdue,70,69,01/09/18,home,L
4,"4 Livers, Isaiah",,27,4,4,2,2,0,0,0,3,1,1,0,0,0,10,Purdue,70,69,01/09/18,home,L
2,"2 Poole, Jordan",,7,2,4,1,1,3,3,0,1,0,0,0,0,0,8,Purdue,70,69,01/09/18,home,L
15,"15 Teske, Jon",,11,0,2,0,0,0,0,2,3,3,0,1,0,0,0,Purdue,70,69,01/09/18,home,L
55,"55 Brooks, Eli",,8,0,0,0,0,0,0,2,1,0,0,1,0,1,0,Purdue,70,69,01/09/18,home,L
TM,0 TEAM,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Purdue,70,69,01/09/18,home,L
,Totals,-,200,26,58,10,22,7,11,11,25,10,9,9,2,2,69,Purdue,70,69,01/09/18,home,L
13,"13 Wagner, Moritz",*,27,8,13,3,4,8,8,2,2,5,0,1,2,1,27,Michigan State,72,82,01/13/18,away,W
3,"3 Simpson, Zavier",*,30,5,9,1,1,5,10,1,3,2,5,0,1,2,16,Michigan State,72,82,01/13/18,away,W
12,"12 Abdur-Rahkman, M-A",*,39,3,11,1,4,7,7,0,3,3,3,0,0,2,14,Michigan State,72,82,01/13/18,away,W
1,"1 Matthews, Charles",*,34,3,10,0,1,4,6,1,3,2,2,3,1,0,10,Michigan State,72,82,01/13/18,away,W
4,"4 Livers, Isaiah",*,25,3,5,0,1,0,0,1,1,4,0,3,0,0,6,Michigan State,72,82,01/13/18,away,W
15,"15 Teske, Jon",,8,1,2,0,0,2,2,3,1,3,1,0,0,0,4,Michigan State,72,82,01/13/18,away,W
22,"22 Robinson, Duncan",,18,1,2,1,1,0,0,0,1,3,1,0,0,0,3,Michigan State,72,82,01/13/18,away,W
2,"2 Poole, Jordan",,7,0,3,0,1,2,2,0,3,1,1,0,0,0,2,Michigan State,72,82,01/13/18,away,W
55,"55 Brooks, Eli",,10,0,2,0,2,0,0,0,1,0,0,0,0,1,0,Michigan State,72,82,01/13/18,away,W
51,"51 Davis, Austin",,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Michigan State,72,82,01/13/18,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,Michigan State,72,82,01/13/18,away,W
,Totals,-,200,24,57,6,15,28,35,11,20,25,13,7,4,6,82,Michigan State,72,82,01/13/18,away,W
13,"13 Wagner, Moritz",*,33,6,9,4,6,2,4,1,10,3,0,0,1,0,18,Maryland,67,68,01/15/18,home,W
1,"1 Matthews, Charles",*,36,3,10,0,2,1,2,1,7,0,6,2,2,1,7,Maryland,67,68,01/15/18,home,W
12,"12 Abdur-Rahkman, M-A",*,33,2,9,1,2,2,2,0,0,1,1,1,0,0,7,Maryland,67,68,01/15/18,home,W
4,"4 Livers, Isaiah",*,20,3,5,1,3,0,0,2,1,2,1,1,1,0,7,Maryland,67,68,01/15/18,home,W
3,"3 Simpson, Zavier",*,28,2,12,0,3,1,3,1,1,4,5,0,0,1,5,Maryland,67,68,01/15/18,home,W
2,"2 Poole, Jordan",,13,4,5,3,4,0,0,0,0,2,1,1,1,0,11,Maryland,67,68,01/15/18,home,W
22,"22 Robinson, Duncan",,20,2,5,2,4,0,0,0,2,1,0,1,0,0,6,Maryland,67,68,01/15/18,home,W
15,"15 Teske, Jon",,7,2,3,0,0,1,1,1,2,0,0,0,1,0,5,Maryland,67,68,01/15/18,home,W
5,"5 Simmons, Jaaron",,6,1,2,0,1,0,0,0,0,2,0,0,0,0,2,Maryland,67,68,01/15/18,home,W
55,"55 Brooks, Eli",,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Maryland,67,68,01/15/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Maryland,67,68,01/15/18,home,W
,Totals,-,200,25,61,11,26,7,12,6,24,15,14,6,6,2,68,Maryland,67,68,01/15/18,home,W
1,"1 Matthews, Charles",*,31,6,10,0,2,3,4,5,3,2,2,3,1,0,15,Nebraska,72,52,01/18/18,away,L
12,"12 Abdur-Rahkman, M-A",*,33,3,11,1,4,2,4,3,1,1,2,2,0,1,9,Nebraska,72,52,01/18/18,away,L
4,"4 Livers, Isaiah",*,29,3,8,2,4,0,0,1,2,2,0,2,0,1,8,Nebraska,72,52,01/18/18,away,L
3,"3 Simpson, Zavier",*,21,1,4,1,1,0,0,2,2,1,2,2,0,0,3,Nebraska,72,52,01/18/18,away,L
13,"13 Wagner, Moritz",*,32,1,5,0,1,0,0,0,7,3,0,1,0,1,2,Nebraska,72,52,01/18/18,away,L
2,"2 Poole, Jordan",,16,2,6,0,3,1,2,0,1,3,0,2,0,0,5,Nebraska,72,52,01/18/18,away,L
5,"5 Simmons, Jaaron",,9,2,2,0,0,0,0,0,0,1,0,0,0,0,4,Nebraska,72,52,01/18/18,away,L
23,"23 Watson, Ibi",,5,2,4,0,1,0,0,1,1,0,0,0,0,0,4,Nebraska,72,52,01/18/18,away,L
15,"15 Teske, Jon",,8,1,4,0,0,0,0,2,0,2,0,0,1,1,2,Nebraska,72,52,01/18/18,away,L
22,"22 Robinson, Duncan",,11,0,2,0,2,0,0,0,1,2,0,0,0,0,0,Nebraska,72,52,01/18/18,away,L
55,"55 Brooks, Eli",,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Nebraska,72,52,01/18/18,away,L
TM,0 TEAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,72,52,01/18/18,away,L
,Totals,-,200,21,56,4,18,6,10,14,18,19,6,12,2,4,52,Nebraska,72,52,01/18/18,away,L
13,"13 Wagner, Moritz",*,31,6,13,2,6,2,2,1,5,3,1,1,0,0,16,Rutgers,47,62,01/21/18,home,W
1,"1 Matthews, Charles",*,33,4,12,1,4,1,3,0,3,1,1,2,0,1,10,Rutgers,47,62,01/21/18,home,W
3,"3 Simpson, Zavier",*,32,4,7,1,1,1,1,1,7,2,4,1,0,0,10,Rutgers,47,62,01/21/18,home,W
12,"12 Abdur-Rahkman, M-A",*,35,1,3,0,2,4,5,1,2,2,4,0,0,0,6,Rutgers,47,62,01/21/18,home,W
4,"4 Livers, Isaiah",*,10,0,3,0,2,0,0,2,1,2,0,0,0,0,0,Rutgers,47,62,01/21/18,home,W
22,"22 Robinson, Duncan",,30,4,8,4,8,0,0,0,5,3,4,2,1,1,12,Rutgers,47,62,01/21/18,home,W
2,"2 Poole, Jordan",,9,2,2,0,0,0,0,0,1,0,1,2,1,0,4,Rutgers,47,62,01/21/18,home,W
15,"15 Teske, Jon",,9,1,2,0,0,0,0,0,0,1,0,0,0,1,2,Rutgers,47,62,01/21/18,home,W
5,"5 Simmons, Jaaron",,8,1,4,0,2,0,0,0,2,1,1,1,0,1,2,Rutgers,47,62,01/21/18,home,W
23,"23 Watson, Ibi",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rutgers,47,62,01/21/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Rutgers,47,62,01/21/18,home,W
,Totals,-,200,23,54,8,25,8,11,6,27,15,16,9,2,4,62,Rutgers,47,62,01/21/18,home,W
12,"12 Abdur-Rahkman, M-A",*,37,10,15,6,9,0,2,0,3,2,1,0,0,1,26,Purdue,92,88,01/25/18,away,L
3,"3 Simpson, Zavier",*,37,7,13,1,2,1,3,0,3,3,5,1,0,2,16,Purdue,92,88,01/25/18,away,L
13,"13 Wagner, Moritz",*,25,6,12,3,7,0,0,2,2,4,1,4,1,1,15,Purdue,92,88,01/25/18,away,L
1,"1 Matthews, Charles",*,33,4,7,0,0,2,2,1,3,3,6,3,1,0,10,Purdue,92,88,01/25/18,away,L
4,"4 Livers, Isaiah",*,32,1,3,1,2,0,0,1,3,2,0,0,1,0,3,Purdue,92,88,01/25/18,away,L
15,"15 Teske, Jon",,14,3,3,0,0,2,2,3,0,1,1,0,0,0,8,Purdue,92,88,01/25/18,away,L
2,"2 Poole, Jordan",,11,2,3,1,2,0,0,0,0,2,0,0,0,1,5,Purdue,92,88,01/25/18,away,L
22,"22 Robinson, Duncan",,8,2,2,1,1,0,0,0,0,2,0,0,0,0,5,Purdue,92,88,01/25/18,away,L
5,"5 Simmons, Jaaron",,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,Purdue,92,88,01/25/18,away,L
TM,0 TEAM,,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,Purdue,92,88,01/25/18,away,L
,Totals,-,200,35,58,13,23,5,9,9,16,20,14,11,3,5,88,Purdue,92,88,01/25/18,away,L
1,"1 Matthews, Charles",*,26,6,11,2,3,0,0,0,7,3,0,2,0,3,14,Northwestern,47,58,01/29/18,home,W
12,"12 Abdur-Rahkman, M-A",*,38,3,6,1,4,4,4,1,3,1,3,0,0,0,11,Northwestern,47,58,01/29/18,home,W
13,"13 Wagner, Moritz",*,28,3,7,1,3,1,3,1,7,4,0,2,0,2,8,Northwestern,47,58,01/29/18,home,W
3,"3 Simpson, Zavier",*,27,1,4,0,2,2,4,0,1,1,3,1,0,0,4,Northwestern,47,58,01/29/18,home,W
4,"4 Livers, Isaiah",*,14,1,1,1,1,0,0,0,0,0,0,0,0,0,3,Northwestern,47,58,01/29/18,home,W
22,"22 Robinson, Duncan",,27,3,9,0,6,2,2,0,0,1,3,0,0,1,8,Northwestern,47,58,01/29/18,home,W
2,"2 Poole, Jordan",,24,3,10,2,6,0,0,0,2,1,3,0,1,1,8,Northwestern,47,58,01/29/18,home,W
15,"15 Teske, Jon",,11,1,2,0,0,0,0,1,4,1,0,0,0,1,2,Northwestern,47,58,01/29/18,home,W
55,"55 Brooks, Eli",,5,0,0,0,0,0,1,1,0,1,1,0,0,0,0,Northwestern,47,58,01/29/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwestern,47,58,01/29/18,home,W
,Totals,-,200,21,50,7,25,9,14,4,24,13,13,5,1,8,58,Northwestern,47,58,01/29/18,home,W
12,"12 Abdur-Rahkman, M-A",*,43,6,12,2,5,3,7,1,3,2,3,1,0,0,17,Minnesota,73,76,02/03/18,home,W
13,"13 Wagner, Moritz",*,39,5,13,3,9,3,4,2,8,3,0,1,0,0,16,Minnesota,73,76,02/03/18,home,W
3,"3 Simpson, Zavier",*,42,7,14,1,8,0,2,0,4,2,3,2,0,1,15,Minnesota,73,76,02/03/18,home,W
1,"1 Matthews, Charles",*,36,4,11,0,1,5,12,3,8,2,3,0,0,0,13,Minnesota,73,76,02/03/18,home,W
4,"4 Livers, Isaiah",*,17,2,3,1,2,0,1,2,3,2,0,0,2,0,5,Minnesota,73,76,02/03/18,home,W
22,"22 Robinson, Duncan",,28,4,6,1,3,1,1,2,2,2,2,1,0,0,10,Minnesota,73,76,02/03/18,home,W
2,"2 Poole, Jordan",,12,0,4,0,4,0,0,0,1,1,0,0,0,0,0,Minnesota,73,76,02/03/18,home,W
15,"15 Teske, Jon",,5,0,0,0,0,0,1,0,0,2,0,1,0,0,0,Minnesota,73,76,02/03/18,home,W
55,"55 Brooks, Eli",,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Minnesota,73,76,02/03/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,Minnesota,73,76,02/03/18,home,W
,Totals,-,225,28,63,8,32,12,28,11,32,17,12,6,2,1,76,Minnesota,73,76,02/03/18,home,W
13,"13 Wagner, Moritz",*,36,7,10,1,4,5,8,2,7,1,2,1,1,1,20,Northwestern,61,52,02/06/18,away,L
12,"12 Abdur-Rahkman, M-A",*,37,3,7,1,2,4,6,0,3,3,2,1,0,1,11,Northwestern,61,52,02/06/18,away,L
3,"3 Simpson, Zavier",*,37,2,6,0,4,2,3,0,3,2,5,1,0,0,6,Northwestern,61,52,02/06/18,away,L
1,"1 Matthews, Charles",*,26,2,7,1,3,0,0,2,1,4,0,3,0,0,5,Northwestern,61,52,02/06/18,away,L
4,"4 Livers, Isaiah",*,2,1,2,0,0,0,0,0,0,1,0,0,0,1,2,Northwestern,61,52,02/06/18,away,L
2,"2 Poole, Jordan",,18,1,6,1,5,2,2,0,3,4,2,1,1,0,5,Northwestern,61,52,02/06/18,away,L
22,"22 Robinson, Duncan",,36,1,6,1,4,0,0,1,5,2,2,0,0,1,3,Northwestern,61,52,02/06/18,away,L
15,"15 Teske, Jon",,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Northwestern,61,52,02/06/18,away,L
55,"55 Brooks, Eli",,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Northwestern,61,52,02/06/18,away,L
23,"23 Watson, Ibi",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwestern,61,52,02/06/18,away,L
TM,0 TEAM,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Northwestern,61,52,02/06/18,away,L
,Totals,-,200,17,44,5,22,13,19,5,22,18,13,9,2,4,52,Northwestern,61,52,02/06/18,away,L
13,"13 Wagner, Moritz",*,32,8,14,3,6,1,1,2,9,5,2,1,2,0,20,Wisconsin,72,83,02/11/18,away,W
22,"22 Robinson, Duncan",*,37,5,9,4,7,2,2,1,0,0,1,0,0,0,16,Wisconsin,72,83,02/11/18,away,W
12,"12 Abdur-Rahkman, M-A",*,34,4,10,0,3,7,8,0,3,1,4,0,0,1,15,Wisconsin,72,83,02/11/18,away,W
1,"1 Matthews, Charles",*,30,5,7,0,0,1,1,3,3,3,2,4,1,0,11,Wisconsin,72,83,02/11/18,away,W
3,"3 Simpson, Zavier",*,28,2,4,0,1,0,2,0,4,1,6,1,0,1,4,Wisconsin,72,83,02/11/18,away,W
2,"2 Poole, Jordan",,13,2,4,1,2,3,4,0,2,2,0,1,0,0,8,Wisconsin,72,83,02/11/18,away,W
15,"15 Teske, Jon",,9,1,1,0,0,2,2,0,1,3,0,0,0,0,4,Wisconsin,72,83,02/11/18,away,W
5,"5 Simmons, Jaaron",,10,1,1,1,1,0,0,0,1,0,0,1,0,0,3,Wisconsin,72,83,02/11/18,away,W
23,"23 Watson, Ibi",,5,0,0,0,0,2,4,2,1,0,0,0,0,0,2,Wisconsin,72,83,02/11/18,away,W
51,"51 Davis, Austin",,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Wisconsin,72,83,02/11/18,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Wisconsin,72,83,02/11/18,away,W
,Totals,-,200,28,50,9,20,18,24,8,25,16,15,8,3,2,83,Wisconsin,72,83,02/11/18,away,W
12,"12 Abdur-Rahkman, M-A",*,37,7,13,2,7,2,4,0,3,1,7,0,0,2,18,Iowa,59,74,02/14/18,home,W
13,"13 Wagner, Moritz",*,24,6,14,2,6,0,1,3,2,4,0,0,0,4,14,Iowa,59,74,02/14/18,home,W
1,"1 Matthews, Charles",*,31,4,16,0,3,2,4,4,4,1,1,0,1,1,10,Iowa,59,74,02/14/18,home,W
4,"4 Livers, Isaiah",*,21,1,3,1,2,0,0,0,2,0,1,0,1,0,3,Iowa,59,74,02/14/18,home,W
3,"3 Simpson, Zavier",*,25,0,1,0,1,0,0,0,3,0,4,3,0,0,0,Iowa,59,74,02/14/18,home,W
22,"22 Robinson, Duncan",,26,6,9,6,8,0,0,0,0,4,1,0,0,2,18,Iowa,59,74,02/14/18,home,W
5,"5 Simmons, Jaaron",,12,2,3,1,2,0,0,0,2,0,4,1,0,1,5,Iowa,59,74,02/14/18,home,W
15,"15 Teske, Jon",,16,2,4,0,0,0,1,3,5,3,1,0,0,3,4,Iowa,59,74,02/14/18,home,W
2,"2 Poole, Jordan",,8,0,4,0,4,2,2,0,0,0,0,1,0,0,2,Iowa,59,74,02/14/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Iowa,59,74,02/14/18,home,W
,Totals,-,200,28,67,12,33,6,12,11,22,13,19,6,2,13,74,Iowa,59,74,02/14/18,home,W
12,"12 Abdur-Rahkman, M-A",*,38,5,13,2,6,5,6,0,2,3,3,0,0,0,17,Ohio State,62,74,02/18/18,home,W
3,"3 Simpson, Zavier",*,30,4,7,1,2,4,6,0,3,0,3,0,0,2,13,Ohio State,62,74,02/18/18,home,W
13,"13 Wagner, Moritz",*,23,5,9,0,2,2,3,0,7,4,1,0,1,2,12,Ohio State,62,74,02/18/18,home,W
1,"1 Matthews, Charles",*,25,3,6,0,2,0,1,0,7,3,3,4,0,1,6,Ohio State,62,74,02/18/18,home,W
4,"4 Livers, Isaiah",*,16,0,2,0,1,0,1,0,1,3,0,1,0,0,0,Ohio State,62,74,02/18/18,home,W
2,"2 Poole, Jordan",,19,5,8,4,5,1,1,0,1,1,1,0,0,0,15,Ohio State,62,74,02/18/18,home,W
15,"15 Teske, Jon",,16,2,2,0,0,1,2,1,3,2,0,0,1,1,5,Ohio State,62,74,02/18/18,home,W
22,"22 Robinson, Duncan",,24,0,3,0,2,4,4,0,1,1,0,0,0,0,4,Ohio State,62,74,02/18/18,home,W
5,"5 Simmons, Jaaron",,9,1,2,0,0,0,0,1,0,0,1,1,0,0,2,Ohio State,62,74,02/18/18,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,Ohio State,62,74,02/18/18,home,W
,Totals,-,200,25,52,7,20,17,24,4,26,17,12,7,2,6,74,Ohio State,62,74,02/18/18,home,W
13,"13 Wagner, Moritz",*,28,5,9,4,5,4,4,1,7,3,1,1,0,0,18,Penn State,63,72,02/21/18,away,W
12,"12 Abdur-Rahkman, M-A",*,38,3,6,1,3,2,4,0,2,2,5,4,0,2,9,Penn State,63,72,02/21/18,away,W
3,"3 Simpson, Zavier",*,32,4,10,0,3,1,2,1,5,1,4,1,0,3,9,Penn State,63,72,02/21/18,away,W
4,"4 Livers, Isaiah",*,9,0,0,0,0,2,2,0,0,0,1,0,0,0,2,Penn State,63,72,02/21/18,away,W
1,"1 Matthews, Charles",*,17,0,5,0,1,0,0,1,2,1,2,3,2,1,0,Penn State,63,72,02/21/18,away,W
22,"22 Robinson, Duncan",,32,6,9,3,6,4,4,1,3,3,0,1,3,1,19,Penn State,63,72,02/21/18,away,W
2,"2 Poole, Jordan",,26,4,8,2,2,3,3,0,4,3,1,1,0,1,13,Penn State,63,72,02/21/18,away,W
55,"55 Brooks, Eli",,2,1,2,0,1,0,0,0,1,0,0,0,0,0,2,Penn State,63,72,02/21/18,away,W
15,"15 Teske, Jon",,12,0,2,0,0,0,0,1,3,0,1,0,1,0,0,Penn State,63,72,02/21/18,away,W
5,"5 Simmons, Jaaron",,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Penn State,63,72,02/21/18,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Penn State,63,72,02/21/18,away,W
,Totals,-,200,23,51,10,21,16,19,6,28,15,15,12,6,8,72,Penn State,63,72,02/21/18,away,W
12,"12 Abdur-Rahkman, M-A",*,33,10,21,6,13,2,2,2,6,1,7,2,2,1,28,Maryland,61,85,02/24/18,away,W
1,"1 Matthews, Charles",*,25,4,6,2,3,1,2,2,3,2,2,2,1,0,11,Maryland,61,85,02/24/18,away,W
3,"3 Simpson, Zavier",*,24,4,7,1,2,1,2,1,1,3,1,2,0,1,10,Maryland,61,85,02/24/18,away,W
13,"13 Wagner, Moritz",*,29,2,3,0,0,4,5,1,3,4,2,0,0,1,8,Maryland,61,85,02/24/18,away,W
4,"4 Livers, Isaiah",*,11,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Maryland,61,85,02/24/18,away,W
2,"2 Poole, Jordan",,22,3,5,3,5,3,3,0,3,1,1,0,0,1,12,Maryland,61,85,02/24/18,away,W
22,"22 Robinson, Duncan",,29,2,6,2,4,1,2,0,4,2,2,1,1,1,7,Maryland,61,85,02/24/18,away,W
5,"5 Simmons, Jaaron",,9,3,3,1,1,0,0,0,1,3,1,0,0,0,7,Maryland,61,85,02/24/18,away,W
51,"51 Davis, Austin",,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,Maryland,61,85,02/24/18,away,W
15,"15 Teske, Jon",,10,0,0,0,0,0,0,1,0,1,2,0,0,1,0,Maryland,61,85,02/24/18,away,W
55,"55 Brooks, Eli",,6,0,3,0,1,0,0,0,0,1,0,0,0,0,0,Maryland,61,85,02/24/18,away,W
23,"23 Watson, Ibi",,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Maryland,61,85,02/24/18,away,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Maryland,61,85,02/24/18,away,W
,Totals,-,200,29,57,15,31,12,16,8,23,18,18,8,5,6,85,Maryland,61,85,02/24/18,away,W
1,"1 Matthews, Charles",*,41,5,10,0,0,6,10,2,6,1,2,0,0,0,16,Iowa,71,77,03/01/18,neutral,W
3,"3 Simpson, Zavier",*,39,5,13,0,4,2,5,0,5,2,3,2,0,1,12,Iowa,71,77,03/01/18,neutral,W
