##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
23,"23 Watson, Ibi",,9,2,4,1,3,0,0,0,1,0,1,0,0,1,5,North Florida,66,86,11/11/17,home,W
4,"4 Livers, Isaiah",,10,1,2,1,1,0,0,0,0,1,2,1,0,1,3,North Florida,66,86,11/11/17,home,W
51,"51 Davis, Austin",,2,1,1,0,0,1,2,1,0,0,0,0,0,0,3,North Florida,66,86,11/11/17,home,W
55,"55 Brooks, Eli",,14,1,4,0,3,0,0,0,0,0,0,1,0,1,2,North Florida,66,86,11/11/17,home,W
5,"5 Simmons, Jaaron",,10,0,2,0,1,2,2,0,1,0,1,0,0,0,2,North Florida,66,86,11/11/17,home,W
15,"15 Teske, Jon",,7,1,1,0,0,0,0,0,2,1,1,0,0,0,2,North Florida,66,86,11/11/17,home,W
2,"2 Poole, Jordan",,3,1,1,0,0,0,0,0,0,1,0,1,0,1,2,North Florida,66,86,11/11/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,North Florida,66,86,11/11/17,home,W
,Totals,-,200,33,71,9,25,11,16,12,24,12,21,10,2,12,86,North Florida,66,86,11/11/17,home,W
12,"12 Abdur-Rahkman, M-A",*,37,7,15,3,9,0,0,1,2,0,4,0,0,1,17,Central Michigan,65,72,11/13/17,home,W
1,"1 Matthews, Charles",*,37,6,12,1,6,0,0,1,2,1,2,1,1,1,13,Central Michigan,65,72,11/13/17,home,W
3,"3 Simpson, Zavier",*,27,5,7,2,3,1,2,0,2,1,3,0,0,2,13,Central Michigan,65,72,11/13/17,home,W
22,"22 Robinson, Duncan",*,34,3,10,2,8,2,2,0,1,3,3,2,0,0,10,Central Michigan,65,72,11/13/17,home,W
13,"13 Wagner, Moritz",*,29,3,9,1,5,3,4,1,10,2,1,1,0,0,10,Central Michigan,65,72,11/13/17,home,W
5,"5 Simmons, Jaaron",,14,2,4,1,2,0,0,1,1,2,1,0,0,0,5,Central Michigan,65,72,11/13/17,home,W
15,"15 Teske, Jon",,10,0,0,0,0,4,4,0,1,1,0,0,2,1,4,Central Michigan,65,72,11/13/17,home,W
4,"4 Livers, Isaiah",,6,0,2,0,1,0,0,2,0,0,0,0,0,0,0,Central Michigan,65,72,11/13/17,home,W
23,"23 Watson, Ibi",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Michigan,65,72,11/13/17,home,W
55,"55 Brooks, Eli",,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Central Michigan,65,72,11/13/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,Central Michigan,65,72,11/13/17,home,W
,Totals,-,200,26,59,10,34,10,12,7,20,11,14,6,3,5,72,Central Michigan,65,72,11/13/17,home,W
12,"12 Abdur-Rahkman, M-A",*,37,6,14,2,7,0,0,1,3,0,4,1,0,1,14,Southern Mississippi,47,61,11/16/17,home,W
22,"22 Robinson, Duncan",*,31,4,9,4,8,0,0,0,4,3,1,2,1,0,12,Southern Mississippi,47,61,11/16/17,home,W
13,"13 Wagner, Moritz",*,24,4,8,0,2,4,4,1,5,1,0,1,0,0,12,Southern Mississippi,47,61,11/16/17,home,W
1,"1 Matthews, Charles",*,27,2,4,1,3,1,2,0,3,2,2,2,0,1,6,Southern Mississippi,47,61,11/16/17,home,W
3,"3 Simpson, Zavier",*,22,0,1,0,1,0,0,0,0,1,1,1,0,2,0,Southern Mississippi,47,61,11/16/17,home,W
15,"15 Teske, Jon",,15,5,5,0,0,0,1,5,6,2,0,0,0,0,10,Southern Mississippi,47,61,11/16/17,home,W
23,"23 Watson, Ibi",,13,2,4,1,2,0,0,1,1,0,0,0,1,1,5,Southern Mississippi,47,61,11/16/17,home,W
5,"5 Simmons, Jaaron",,19,0,2,0,0,2,2,0,1,1,5,2,0,0,2,Southern Mississippi,47,61,11/16/17,home,W
4,"4 Livers, Isaiah",,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Southern Mississippi,47,61,11/16/17,home,W
55,"55 Brooks, Eli",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern Mississippi,47,61,11/16/17,home,W
51,"51 Davis, Austin",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern Mississippi,47,61,11/16/17,home,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,Southern Mississippi,47,61,11/16/17,home,W
,Totals,-,200,23,47,8,23,7,9,8,24,10,13,11,3,5,61,Southern Mississippi,47,61,11/16/17,home,W
1,"1 Matthews, Charles",*,33,10,17,1,2,7,10,6,2,3,3,2,0,0,28,LSU,77,75,11/20/17,neutral,L
